,Train_loss,Train_pearson,Train_r2,Valid_loss,Valid_pearson,Valid_r2,Best_epoch
79,0.046668584429322875,"(0.9082114651748054, 0.0)",0.8239399743532227,0.053012395078984614,"(0.8641562195201951, 0.0)",0.7455966826668536,28
80,0.04611416097687412,"(0.9015565153732277, 0.0)",0.8068261350507023,0.056170305517822525,"(0.8546297279928653, 0.0)",0.7143846835008651,28
81,0.04611300001469284,"(0.899536960391813, 0.0)",0.8081321030992467,0.0550093882846275,"(0.8553406457912415, 0.0)",0.7260687661890302,28
82,0.04600777925048632,"(0.9087250337612691, 0.0)",0.8248722463404313,0.0528629010680463,"(0.8657421807841281, 0.0)",0.7470294830025944,28
83,0.046294342224411415,"(0.9060625854393938, 0.0)",0.8186485032123181,0.05427944508190118,"(0.8565459894228753, 0.0)",0.7332903590300397,28
84,0.046648180793227655,"(0.9044013278084485, 0.0)",0.81748948571242,0.05371396519168036,"(0.860631914534297, 0.0)",0.738818538881229,28
85,0.04625590558877924,"(0.908241704029902, 0.0)",0.8220353108420048,0.05303217229954085,"(0.8642900549751316, 0.0)",0.7454068249547141,28
86,0.04606549299199282,"(0.9059954405770565, 0.0)",0.8180621797407553,0.05390772643179592,"(0.8587012737525751, 0.0)",0.7369308288270962,28
87,0.045609780410427195,"(0.9061388139417496, 0.0)",0.8210244977258794,0.05342584733920324,"(0.8640310883739302, 0.0)",0.7416129383529997,28
88,0.04653234676305841,"(0.9076795545435983, 0.0)",0.8230256833865199,0.05327069823283833,"(0.864640300587121, 0.0)",0.743111476197371,28
89,0.04571233605439101,"(0.9120327629802774, 0.0)",0.8289757385094025,0.05329666763424122,"(0.8620122793960653, 0.0)",0.7428609515661828,28
90,0.04562379778397178,"(0.9115621323445202, 0.0)",0.8230779577882822,0.05344008723892312,"(0.861763935173994, 0.0)",0.74147518793872,28
91,0.04515723142125176,"(0.9090657655076013, 0.0)",0.8115680358154083,0.05364615030350261,"(0.8643643470907868, 0.0)",0.739477616440118,28
92,0.04590737794786987,"(0.9070776796570734, 0.0)",0.821741905339975,0.053385031564849174,"(0.8644203102930634, 0.0)",0.7420075923001384,28
93,0.04568700908624969,"(0.907089880704961, 0.0)",0.8222618339480872,0.05387042005553627,"(0.8602872722206049, 0.0)",0.737294818240706,28
94,0.0458639509148311,"(0.9062384612617196, 0.0)",0.8156991347689093,0.05561848865448144,"(0.8568115333533399, 0.0)",0.7199688857662674,28
95,0.045620891259476416,"(0.9088575905323223, 0.0)",0.8152643442926489,0.054454477394769156,"(0.856319056770358, 0.0)",0.731567489947523,28
96,0.04567955992131409,"(0.9044459389796728, 0.0)",0.8102077055110786,0.05497277607945811,"(0.8634643233831096, 0.0)",0.7264332822827768,28
97,0.04556523353978271,"(0.9089155870456338, 0.0)",0.825700331268819,0.0542962296453178,"(0.8585097351881867, 0.0)",0.7331253834180448,28
98,0.045568958720455514,"(0.9040824162792511, 0.0)",0.8126741714014202,0.055414329797897954,"(0.8589882470389951, 0.0)",0.7220209326617428,28
99,0.046016118166787544,"(0.9050953606745876, 0.0)",0.8189997102843345,0.05437901352413286,"(0.8587399512131143, 0.0)",0.7323109754790496,28
